SYMBOL,YF_TICKER
360ONE,360ONE.NS
ABB,ABB.NS
ACC,ACC.NS
APLAPOLLO,APLAPOLLO.NS
AUBANK,AUBANK.NS
ADANIENSOL,ADANIENSOL.NS
ADANIENT,ADANIENT.NS
ADANIGREEN,ADANIGREEN.NS
ADANIPORTS,ADANIPORTS.NS
ADANIPOWER,ADANIPOWER.NS
ATGL,ATGL.NS
ABCAPITAL,ABCAPITAL.NS
ALKEM,ALKEM.NS
AMBUJACEM,AMBUJACEM.NS
APOLLOHOSP,APOLLOHOSP.NS
ASHOKLEY,ASHOKLEY.NS
ASIANPAINT,ASIANPAINT.NS
ASTRAL,ASTRAL.NS
AUROPHARMA,AUROPHARMA.NS
DMART,DMART.NS
AXISBANK,AXISBANK.NS
BSE,BSE.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
BAJFINANCE,BAJFINANCE.NS
BAJAJFINSV,BAJAJFINSV.NS
BAJAJHLDNG,BAJAJHLDNG.NS
BAJAJHFL,BAJAJHFL.NS
BANKBARODA,BANKBARODA.NS
BANKINDIA,BANKINDIA.NS
BDL,BDL.NS
BEL,BEL.NS
BHARATFORG,BHARATFORG.NS
BHEL,BHEL.NS
BPCL,BPCL.NS
BHARTIARTL,BHARTIARTL.NS
BHARTIHEXA,BHARTIHEXA.NS
BIOCON,BIOCON.NS
BLUESTARCO,BLUESTARCO.NS
BOSCHLTD,BOSCHLTD.NS
BRITANNIA,BRITANNIA.NS
CGPOWER,CGPOWER.NS
CANBK,CANBK.NS
CHOLAFIN,CHOLAFIN.NS
CIPLA,CIPLA.NS
COALINDIA,COALINDIA.NS
COCHINSHIP,COCHINSHIP.NS
COFORGE,COFORGE.NS
COLPAL,COLPAL.NS
CONCOR,CONCOR.NS
COROMANDEL,COROMANDEL.NS
CUMMINSIND,CUMMINSIND.NS
DLF,DLF.NS
DABUR,DABUR.NS
DIVISLAB,DIVISLAB.NS
DIXON,DIXON.NS
DRREDDY,DRREDDY.NS
EICHERMOT,EICHERMOT.NS
ETERNAL,ETERNAL.NS
EXIDEIND,EXIDEIND.NS
NYKAA,NYKAA.NS
FEDERALBNK,FEDERALBNK.NS
FORTIS,FORTIS.NS
GAIL,GAIL.NS
GMRAIRPORT,GMRAIRPORT.NS
GLENMARK,GLENMARK.NS
GODFRYPHLP,GODFRYPHLP.NS
GODREJCP,GODREJCP.NS
GODREJPROP,GODREJPROP.NS
GRASIM,GRASIM.NS
HCLTECH,HCLTECH.NS
HDFCAMC,HDFCAMC.NS
HDFCBANK,HDFCBANK.NS
HDFCLIFE,HDFCLIFE.NS
HAVELLS,HAVELLS.NS
HEROMOTOCO,HEROMOTOCO.NS
HINDALCO,HINDALCO.NS
HAL,HAL.NS
HINDPETRO,HINDPETRO.NS
HINDUNILVR,HINDUNILVR.NS
HINDZINC,HINDZINC.NS
POWERINDIA,POWERINDIA.NS
HUDCO,HUDCO.NS
HYUNDAI,HYUNDAI.NS
ICICIBANK,ICICIBANK.NS
ICICIGI,ICICIGI.NS
IDFCFIRSTB,IDFCFIRSTB.NS
IRB,IRB.NS
ITCHOTELS,ITCHOTELS.NS
ITC,ITC.NS
INDIANB,INDIANB.NS
INDHOTEL,INDHOTEL.NS
IOC,IOC.NS
IRCTC,IRCTC.NS
IRFC,IRFC.NS
IREDA,IREDA.NS
IGL,IGL.NS
INDUSTOWER,INDUSTOWER.NS
INDUSINDBK,INDUSINDBK.NS
NAUKRI,NAUKRI.NS
INFY,INFY.NS
INDIGO,INDIGO.NS
JSWENERGY,JSWENERGY.NS
JSWSTEEL,JSWSTEEL.NS
JINDALSTEL,JINDALSTEL.NS
JIOFIN,JIOFIN.NS
JUBLFOOD,JUBLFOOD.NS
KEI,KEI.NS
KPITTECH,KPITTECH.NS
KALYANKJIL,KALYANKJIL.NS
KOTAKBANK,KOTAKBANK.NS
LTF,LTF.NS
LICHSGFIN,LICHSGFIN.NS
LTIM,LTIM.NS
LT,LT.NS
LICI,LICI.NS
LODHA,LODHA.NS
LUPIN,LUPIN.NS
MRF,MRF.NS
M&MFIN,M&MFIN.NS
M&M,M&M.NS
MANKIND,MANKIND.NS
MARICO,MARICO.NS
MARUTI,MARUTI.NS
MFSL,MFSL.NS
MAXHEALTH,MAXHEALTH.NS
MAZDOCK,MAZDOCK.NS
MOTILALOFS,MOTILALOFS.NS
MPHASIS,MPHASIS.NS
MUTHOOTFIN,MUTHOOTFIN.NS
NHPC,NHPC.NS
NMDC,NMDC.NS
NTPCGREEN,NTPCGREEN.NS
NTPC,NTPC.NS
NATIONALUM,NATIONALUM.NS
NESTLEIND,NESTLEIND.NS
OBEROIRLTY,OBEROIRLTY.NS
ONGC,ONGC.NS
OIL,OIL.NS
PAYTM,PAYTM.NS
OFSS,OFSS.NS
POLICYBZR,POLICYBZR.NS
PIIND,PIIND.NS
PAGEIND,PAGEIND.NS
PATANJALI,PATANJALI.NS
PERSISTENT,PERSISTENT.NS
PHOENIXLTD,PHOENIXLTD.NS
PIDILITIND,PIDILITIND.NS
POLYCAB,POLYCAB.NS
PFC,PFC.NS
POWERGRID,POWERGRID.NS
PREMIERENE,PREMIERENE.NS
PRESTIGE,PRESTIGE.NS
PNB,PNB.NS
RECLTD,RECLTD.NS
RVNL,RVNL.NS
RELIANCE,RELIANCE.NS
SBICARD,SBICARD.NS
SBILIFE,SBILIFE.NS
SRF,SRF.NS
MOTHERSON,MOTHERSON.NS
SHREECEM,SHREECEM.NS
SHRIRAMFIN,SHRIRAMFIN.NS
ENRIN,ENRIN.NS
SIEMENS,SIEMENS.NS
SOLARINDS,SOLARINDS.NS
SONACOMS,SONACOMS.NS
SBIN,SBIN.NS
SAIL,SAIL.NS
SUNPHARMA,SUNPHARMA.NS
SUPREMEIND,SUPREMEIND.NS
SUZLON,SUZLON.NS
SWIGGY,SWIGGY.NS
TVSMOTOR,TVSMOTOR.NS
TATACOMM,TATACOMM.NS
TCS,TCS.NS
TATACONSUM,TATACONSUM.NS
TATAELXSI,TATAELXSI.NS
TMPV,TMPV.NS
TATAPOWER,TATAPOWER.NS
TATASTEEL,TATASTEEL.NS
TATATECH,TATATECH.NS
TECHM,TECHM.NS
TITAN,TITAN.NS
TORNTPHARM,TORNTPHARM.NS
TORNTPOWER,TORNTPOWER.NS
TRENT,TRENT.NS
TIINDIA,TIINDIA.NS
UPL,UPL.NS
ULTRACEMCO,ULTRACEMCO.NS
UNIONBANK,UNIONBANK.NS
UNITDSPR,UNITDSPR.NS
VBL,VBL.NS
VEDL,VEDL.NS
VMM,VMM.NS
IDEA,IDEA.NS
VOLTAS,VOLTAS.NS
WAAREEENER,WAAREEENER.NS
WIPRO,WIPRO.NS
YESBANK,YESBANK.NS
ZYDUSLIFE,ZYDUSLIFE.NS

